"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"CLG434","Not disclosed","SCS1","Deputy Director - Building Safety","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG243","0","0.40","120000","124999","","","","1"
"CLG435","Not disclosed","SCS1","Deputy Director - Home Ownership Division","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG241","1202544","1.00","70000","74999","","","","1"
"CLG438","Not disclosed","SCS1","Deputy Director - Commercial - Procurement","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG355","424498","1.00","70000","74999","","","","1"
"CLG439","Not disclosed","SCS1","Deputy Director - Funding Design","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 1818","contactus@communities.gsi.gov.uk","CLG436","596716","0.60","75000","79999","","","","1"
"CLG440","Not disclosed","SCS1","Deputy Director - Housing Performance","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG241","811909","1.00","75000","79999","","","","1"
"CLG441","Not disclosed","SCS1","Deputy Director - Resilience and Recovery","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG256","0","1.00","N/A","N/A","","","Non CS Contract","1"
"CLG442","Not disclosed","SCS1","Deputy Director - LG Response","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG269","700883","0.81","70000","74999","","","","1"
"CLG443","Not disclosed","SCS1","Deputy Director - LG Response","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG269","0","0.81","75000","79999","","","","1"
"CLG444","Not disclosed","SCS1","Deputy Director - Funding Design","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG436","0","0.60","70000","74999","","","","1"
"CLG445","Not disclosed","SCS1","Deputy Director - Central Portfolio Office","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG336","449255","0.86","70000","74999","","","","1"
"CLG446","Not disclosed","SCS1","Deputy Director - Resilience and Recovery","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG256","0","1.00","70000","74999","","","","1"
"CLG448","Not disclosed","SCS1","Deputy Director - Funding Delivery Change","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG372","3643843","1.00","80000","84999","","","","1"
"CLG450","Not disclosed","SCS1","Deputy Director - BSP - Programme & Governance","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG276","560119","1.00","75000","79999","","","","1"
"CLG451","Not disclosed","SCS1","Deputy Director - Regeneration & Urban Policy","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG436","0","1.00","70000","74999","","","Salary report cost refers to less than 5 people so left at 0","1"
"CLG452","Not disclosed","SCS1","Deputy Director - East Mids, Ox-Cam & Beyond Whitehall","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG372","386820","1.00","N/A","N/A","","","Indirectly employed and not on MHCLG Payroll","1"
"CLG455","Not disclosed","SCS1","Deputy Director - Strategy","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG236","0","1.00","70000","74999","","","","1"
"CLG456","Not disclosed","SCS1","Deputy Director - Building Safety Bill","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Safer and Greener Buildings","0303 444 0000","contactus@communities.gsi.gov.uk","CLG407","316784","1.00","70000","74999","","","","1"
"CLG459","Not disclosed","SCS1","Deputy Director - Wales Area Team, Areas & Analysis","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG473","0","1.00","80000","84999","","","","1"
"CLG460","Not disclosed","SCS1","Deputy Director - Planning Casework","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG186","0","1.00","75000","79999","","","Salary report cost refers to less than 5 people so left at 0","1"
"CLG462","Not disclosed","SCS1","Deputy Director - Energy Performance of Buildings","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Safer and Greener Buildings","0303 444 0000","contactus@communities.gsi.gov.uk","CLG407","0","0.60","70000","74999","","","","1"
"CLG463","Not disclosed","SCS1","Deputy Director - Strategy","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG286","0","1.00","75000","79999","","","","1"
"CLG466","Not disclosed","SCS1","Deputy Director - Planning Digital","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG437","0","1.00","75000","79999","","","","1"
"CLG467","Not disclosed","SCS1","Deputy Director - North West & Northern Powerhouse","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG236","210123","1.00","70000","74999","","","","1"
"CLG471","Not disclosed","SCS1","Deputy Director - Private Rented Sector","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG350","366585","1.00","70000","74999","","","","1"
"CLG474","Not disclosed","SCS1","Deputy Director - PCU - Secretary of State Decisions","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG186","0","1.00","60000","64999","","","","1"
"CLG475","Not disclosed","SCS1","Deputy Director - (Leave of Absence)","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Safer and Greener Buildings","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","0","1.00","65000","69999","","","SCS on leave of absence report to HRD for purposes of this organogram","1"
"CLG476","Not disclosed","SCS1","Deputy Director - (Leave of Absence)","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","0","1.00","60000","64999","","","SCS on leave of absence report to HRD for purposes of this organogram","1"
"CLG477","Not disclosed","SCS1","Deputy Director - (Leave of Absence)","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","0","1.00","60000","64999","","","SCS on leave of absence report to HRD for purposes of this organogram","1"
"CLG478","Not disclosed","SCS1","Deputy Director - Secretary of State for MHCLG","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG286","2585107","1.00","50000","54999","","","","1"
"CLG479","Not disclosed","SCS1","Deputy Director - Organisational and People Development","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","423611","1.00","70000","74999","","","","1"
"CLG480","Not disclosed","SCS1","Deputy Director - Faith, Integration and Communities","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG269","510507","1.00","60000","64999","","","","1"
"CLG136","Alexander Skinner","SCS2","Director - Local Government Finance","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG237","365000","1.00","95000","99999","","","","1"
"CLG142","Simon Gallagher","SCS2","Director - Planning","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG239","656869","1.00","100000","104999","","","","1"
"CLG147","Abigail Dean (Gld)","SCS2","Director - Legal","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Co-Located","0303 444 0000","contactus@communities.gsi.gov.uk","CLG131","0","0.01","N/A","N/A","","","Indirectly employed and not on MHCLG Payroll","1"
"CLG186","Joanna Averley","SCS2","Director - Planning","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG239","1797740","0.97","130000","134999","","","","1"
"CLG240","Simon Claydon","SCS2","Director - People, Capability & Change","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG338","3685760","1.00","110000","114999","","","","1"
"CLG241","Emma Fraser","SCS2","Director - Housing Markets & Strategy","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG239","0","1.00","95000","99999","","","Salary report cost refers to less than 5 people so left at 0","1"
"CLG243","Benjamin Llewellyn","SCS2","Director - Building Safety","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG236","260000","1.00","90000","94999","","","","1"
"CLG247","Josh Goodman","SCS2","Director - Social Housing","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG239","290000","1.00","95000","99999","","","","1"
"CLG256","Jillian Kay","SCS2","Director - Resilience and Recovery","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG236","310000","1.00","100000","104999","","","","1"
"CLG258","Alex Powell","SCS2","Director - Holocaust Memorial Team","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG305","70000","1.00","75000","79999","","","","1"
"CLG266","Stephen Aldridge","SCS2","Director - Analysis and Data","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG237","1950100","1.00","105000","109999","","","","1"
"CLG269","Julia Sweeney","SCS2","Director - Local Government & Communities","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG237","505000","1.00","100000","104999","","","","1"
"CLG276","Neil O'Connor","SCS2","Director - BSP - Programme & Governance","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG407","360000","1.00","100000","104999","","","","1"
"CLG285","Paul Maltby","SCS2","Director - Digital","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG338","0","1.00","125000","129999","","","Salary report cost refers to less than 5 people so left at 0","1"
"CLG286","Lise-Anne Boissiere","SCS2","Director - Strategy & Private Office","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG237","1480311","1.00","95000","99999","","","","1"
"CLG294","Rosie Seymour","SCS2","Deputy Director - (Leave of Absence)","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","0","1.00","70000","74999","","","SCS on leave of absence report to HRD for purposes of this organogram","1"
"CLG303","Penelope Hobman","SCS2","Director - Rough Sleeping Taskforce","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG239","210000","1.00","90000","94999","","","","1"
"CLG305","Cathy Francis","SCS2","Director - Housing Delivery","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG236","300000","1.00","105000","109999","","","","1"
"CLG318","Chandru Dissanayeke","SCS2","Director - BSP - Future Regulatory Framework","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG407","370000","1.00","95000","99999","","","","1"
"CLG336","David Thomas","SCS2","Director - Finance","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG338","2080372","0.93","95000","99999","","","","1"
"CLG350","Caroline Crowther","SCS2","Director - Private Rented Sector & Leasehold","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG239","0","0.70","90000","94999","","","Jobshare with CLG412. Salary report cost refers to less than 5 people so left at 0","1"
"CLG355","Andrew Hobart","SCS2","Director - Commercial","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG338","70000","1.00","N/A","N/A","","","Not on MHCLG Payroll","1"
"CLG371","Christian Cubitt","SCS2","Director - Communications","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG236","150000","1.00","75000","79999","","","","1"
"CLG372","Jennifer Dibden","SCS2","Director - CLGU: Funding Delivery & Shocks","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG236","315000","1.00","95000","99999","","","","1"
"CLG373","Alistair Watters","SCS2","Director - Grenfell Site Programme","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG407","245000","1.00","150000","154999","","","","1"
"CLG396","Alan Penn","SCS2","Director - Chief Scientific Adviser","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG237","0","0.60","N/A","N/A","","","Not on MHCLG Payroll. Salary report cost refers to less than 5 people so left at 0","1"
"CLG436","Katy O'Neill","SCS2","Director - CLGU: Policy","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG236","360000","1.00","N/A","N/A","","","Not on MHCLG Payroll","1"
"CLG437","Paul Morrison","SCS2","Director - Housing & Vulnerable People Response","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG239","230000","1.00","100000","104999","","","Not on MHCLG Payroll","1"
"CLG447","Rebekah Ayres","SCS2","Director - Homes England Sponsorship","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG241","0","1.00","105000","109999","","","","1"
"CLG449","Elizabeth Jones","SCS2","Director - Local Government & Communities","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG237","305000","0.90","90000","94999","","","","1"
"CLG473","Stephen Jones","SCS2","Director - CLGU: Area Teams & Local Growth Analysis","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG236","0","1.00","N/A","N/A","","","Co-located employee not on payroll. Salary report cost refers to less than 5 people so left at 0","1"
"CLG236","Emran Mian","SCS3","Director General - Stronger Places","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Executive Team","0303 444 0000","contactus@communities.gsi.gov.uk","CLG131","605000","1.00","125000","129999","","","","1"
"CLG237","Catherine Frances","SCS3","Director General - Local Government, Strategy & Analysis","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Executive Team","0303 444 0000","contactus@communities.gsi.gov.uk","CLG131","555000","1.00","125000","129999","","","","1"
"CLG239","Tracey Waltho","SCS3","Director General - Housing & Planning","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Executive Team","0303 444 0000","contactus@communities.gsi.gov.uk","CLG131","700000","1.00","125000","129999","","","","1"
"CLG338","Matthew Thurstan","SCS3","Director General - CFO & Corporate","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Executive Team","0303 444 0000","contactus@communities.gsi.gov.uk","CLG131","425000","1.00","160000","164999","","","","1"
"CLG407","Richard Goodman","SCS3","Director General - Building Safety, Grenfell and Net Zero","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Executive Team","0303 444 0000","contactus@communities.gsi.gov.uk","CLG131","630000","1.00","120000","124999","","","Indirectly employed and not on MHCLG Payroll","1"
"CLG131","Jeremy Pocklington","SCS4","Permanent Secretary - Ministry of Housing, Comm & Local Govt","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Permanent Secretary","0303 444 0000","contactus@communities.gsi.gov.uk","XX","655000","1.00","160000","164999","","","","1"
